Date,TT,ST,CiT,AT,FT,IT
2007-09,1517.118835,469.0676106,41.54291223,3.69495902,84.90317499,614.0268858
2007-10,1167.865115,451.4111708,48.13114187,3.42090355,79.69538832,425.0868669
2007-11,1084.161809,451.2801356,45.73014318,5.43051253,88.19479167,396.5874184
2007-12,1305.467987,462.7254898,40.73430129,4.50850426,82.40911052,490.5163619
2008-01,1479.600496,537.0670224,43.25615311,3.52954454,74.8665462,684.6659656
2008-02,894.2375839,432.4439528,38.66199429,2.47710751,72.25504648,270.6270999
2008-03,1178.616375,440.4643043,39.49620908,2.71170649,82.30852558,462.2033854
2008-04,1961.471115,476.0131203,42.89670499,2.80947575,81.75273499,977.7419673
2008-05,1260.479998,521.0874699,47.20704477,3.38106877,82.89030984,498.9907551
2008-06,1566.447812,557.7116207,41.94729999,4.30977533,76.88858286,590.1936965
2008-07,1269.225456,577.2256429,50.25436866,4.64734604,83.68971397,410.8587129
2008-08,1170.514361,555.9732165,45.57236995,3.58700384,76.12044364,419.4089515
2008-09,1566.647714,555.1173142,42.86885885,3.20701042,75.38190078,629.4185897
2008-10,1270.960999,541.3120391,42.12495954,4.10859629,74.65927915,439.55989
2008-11,1143.98316,499.8102323,33.09617568,3.78397636,78.43894706,455.5462273
2008-12,1304.174383,489.7608373,49.40825572,4.08105777,71.14875711,434.9646291
2009-01,1433.217219,586.707622,40.84577,4.19926345,77.81330966,601.1336133
2009-02,956.1680328,469.615254,34.52450375,2.38503521,68.04914373,273.9671615
2009-03,1123.163736,457.5466984,44.45501389,2.62512297,70.88461338,405.5116321
2009-04,1657.950924,488.3343858,38.45842117,3.06876721,84.31878849,723.0094799
2009-05,1188.492508,466.5197138,37.48909588,3.5529675,73.06191868,484.1965347
2009-06,1419.837799,517.7133387,46.62621103,4.25179569,68.65346117,536.0810023
2009-07,1080.588678,511.6411545,49.91705393,4.31999079,71.61148498,317.754624
2009-08,1116.879307,498.0683155,36.29740601,3.63812004,75.48970036,440.6064242
